Course Code,Course Title,Meeting Info,Instructor,Seats Available,Max Enrollment,Additional Details,Paragraph Text
CHEM 115-F1 (10186),Accelerated General Chemistry,Meeting: M W F  1:10 - 2:10 pmOLRI 301,Instructor: Keith Kuwata,0,16,First-Year course only; first day attendance required,First-Year course only; first day attendance required
,,,,,,"This one-semester course integrates topics from Macalester’s first-semester and second-semester general chemistry classes and is designed for incoming first-year students with a
strong high school foundation in chemistry. The course begins with an intuitive introduction to quantum mechanics that we then use to explain the structure and properties of atoms and molecules. We then apply our understanding of atoms and molecules to gain a novel perspective on macroscopic concepts such as energy, entropy, and the rates of chemical reactions. Classes will largely consist of lectures and demonstrations. Weekly laboratory sessions will reinforce concepts from class and teach students how to make written scientific arguments based on experimental and computational data. Students completing this course are prepared to take sophomore-level courses in analytical and organic chemistry.
Natural science and mathematics
Quantitative Thinking Q1, Writing WAhttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27CHEM%27%20num=%27115%27%20sect=%27F1%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","This one-semester course integrates topics from Macalester’s first-semester and second-semester general chemistry classes and is designed for incoming first-year students with a
strong high school foundation in chemistry. The course begins with an intuitive introduction to quantum mechanics that we then use to explain the structure and properties of atoms and molecules. We then apply our understanding of atoms and molecules to gain a novel perspective on macroscopic concepts such as energy, entropy, and the rates of chemical reactions. Classes will largely consist of lectures and demonstrations. Weekly laboratory sessions will reinforce concepts from class and teach students how to make written scientific arguments based on experimental and computational data. Students completing this course are prepared to take sophomore-level courses in analytical and organic chemistry.
Natural science and mathematics
Quantitative Thinking Q1, Writing WA"
CHEM 115-L1 (10187),Accelerated General Chem Lab,Meeting:    R   1:20 - 4:30 pmOLRI 347,Instructor: Keith Kuwata,0,16,First-Year course only; first day attendance required' $12 materials fee charged,First-Year course only; first day attendance required' $12 materials fee charged
,,,,,,"This course combines topics from both CHEM 111 and CHEM 112 and is meant to be an accelerated one-semester version of General Chemistry. The course begins with a rigorous treatment of atomic and molecular structure, including various models of chemical bonding. These ideas are applied to a thorough discussion of chemical thermodynamics and kinetics. Conceptual and mathematical methods for quantifying chemical equilibrium are also explored, as well as theoretical and practical aspects of nuclear chemistry. Three lectures and one three-hour laboratory per week. Students cannot receive credit for both this course and for either CHEM 111 or CHEM 112 . Lab fee of $12 required. Prerequisite(s): AP CHEM score of 4 or 5; IB CHEM score of 5, 6, or 7; or satisfactory performance on an online placement examination. Some knowledge of calculus is expected. Open only to incoming first-year students.
Natural science and mathematicshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27CHEM%27%20num=%27115%27%20sect=%27L1%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","This course combines topics from both CHEM 111 and CHEM 112 and is meant to be an accelerated one-semester version of General Chemistry. The course begins with a rigorous treatment of atomic and molecular structure, including various models of chemical bonding. These ideas are applied to a thorough discussion of chemical thermodynamics and kinetics. Conceptual and mathematical methods for quantifying chemical equilibrium are also explored, as well as theoretical and practical aspects of nuclear chemistry. Three lectures and one three-hour laboratory per week. Students cannot receive credit for both this course and for either CHEM 111 or CHEM 112 . Lab fee of $12 required. Prerequisite(s): AP CHEM score of 4 or 5; IB CHEM score of 5, 6, or 7; or satisfactory performance on an online placement examination. Some knowledge of calculus is expected. Open only to incoming first-year students.
Natural science and mathematics"
CHEM 211-01 (10188),Organic Chemistry I,Meeting: M W F  8:30 - 9:30 amOLRI 100,Instructor: Ronald Brisbois,8,24,First day attendance required,First day attendance required
,,,,,,"This course develops a broad understanding of the theoretical concepts of organic chemistry. Molecular orbital theory and valence bond resonance theory are invoked to describe and explain the ramification of covalent bonding in organic molecules, as well as to rationalize fundamental noncovalent associations. Thermodynamic considerations of 3-dimensional molecular shape are discussed. Contemporary instrumental techniques for the assignment of molecular structure are a key focus. Modern mechanistic theory of organic chemical reactions is developed in the context of acid-base, nucleophilic substitution, elimination, and electrophilic addition reactions. Three lectures, four hours laboratory per week. Prerequisite(s): CHEM 112 with a grade of C- or better or CHEM 115 with a grade of C- or better.
Natural science and mathematicshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27CHEM%27%20num=%27211%27%20sect=%2701%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","This course develops a broad understanding of the theoretical concepts of organic chemistry. Molecular orbital theory and valence bond resonance theory are invoked to describe and explain the ramification of covalent bonding in organic molecules, as well as to rationalize fundamental noncovalent associations. Thermodynamic considerations of 3-dimensional molecular shape are discussed. Contemporary instrumental techniques for the assignment of molecular structure are a key focus. Modern mechanistic theory of organic chemical reactions is developed in the context of acid-base, nucleophilic substitution, elimination, and electrophilic addition reactions. Three lectures, four hours laboratory per week. Prerequisite(s): CHEM 112 with a grade of C- or better or CHEM 115 with a grade of C- or better.
Natural science and mathematics"
CHEM 211-02 (10189),Organic Chemistry I,Meeting: M W F  9:40 - 10:40 amTHEATR 205,Instructor: Dennis Cao,-1,24,,
,,,,,,"This course develops a broad understanding of the theoretical concepts of organic chemistry. Molecular orbital theory and valence bond resonance theory are invoked to describe and explain the ramification of covalent bonding in organic molecules, as well as to rationalize fundamental noncovalent associations. Thermodynamic considerations of 3-dimensional molecular shape are discussed. Contemporary instrumental techniques for the assignment of molecular structure are a key focus. Modern mechanistic theory of organic chemical reactions is developed in the context of acid-base, nucleophilic substitution, elimination, and electrophilic addition reactions. Three lectures, four hours laboratory per week. Prerequisite(s): CHEM 112 with a grade of C- or better or CHEM 115 with a grade of C- or better.
Natural science and mathematicshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27CHEM%27%20num=%27211%27%20sect=%2702%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","This course develops a broad understanding of the theoretical concepts of organic chemistry. Molecular orbital theory and valence bond resonance theory are invoked to describe and explain the ramification of covalent bonding in organic molecules, as well as to rationalize fundamental noncovalent associations. Thermodynamic considerations of 3-dimensional molecular shape are discussed. Contemporary instrumental techniques for the assignment of molecular structure are a key focus. Modern mechanistic theory of organic chemical reactions is developed in the context of acid-base, nucleophilic substitution, elimination, and electrophilic addition reactions. Three lectures, four hours laboratory per week. Prerequisite(s): CHEM 112 with a grade of C- or better or CHEM 115 with a grade of C- or better.
Natural science and mathematics"
CHEM 211-03 (10190),Organic Chemistry I,Meeting: M W F  10:50 - 11:50 amTHEATR 205,Instructor: Dennis Cao,-4,32,,
,,,,,,"This course develops a broad understanding of the theoretical concepts of organic chemistry. Molecular orbital theory and valence bond resonance theory are invoked to describe and explain the ramification of covalent bonding in organic molecules, as well as to rationalize fundamental noncovalent associations. Thermodynamic considerations of 3-dimensional molecular shape are discussed. Contemporary instrumental techniques for the assignment of molecular structure are a key focus. Modern mechanistic theory of organic chemical reactions is developed in the context of acid-base, nucleophilic substitution, elimination, and electrophilic addition reactions. Three lectures, four hours laboratory per week. Prerequisite(s): CHEM 112 with a grade of C- or better or CHEM 115 with a grade of C- or better.
Natural science and mathematicshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27CHEM%27%20num=%27211%27%20sect=%2703%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","This course develops a broad understanding of the theoretical concepts of organic chemistry. Molecular orbital theory and valence bond resonance theory are invoked to describe and explain the ramification of covalent bonding in organic molecules, as well as to rationalize fundamental noncovalent associations. Thermodynamic considerations of 3-dimensional molecular shape are discussed. Contemporary instrumental techniques for the assignment of molecular structure are a key focus. Modern mechanistic theory of organic chemical reactions is developed in the context of acid-base, nucleophilic substitution, elimination, and electrophilic addition reactions. Three lectures, four hours laboratory per week. Prerequisite(s): CHEM 112 with a grade of C- or better or CHEM 115 with a grade of C- or better.
Natural science and mathematics"
CHEM 211-L1 (10191),Organic Chemistry I Lab,Meeting:  T     8:00 - 11:10 amOLRI 383,Instructor: Ronald Brisbois,-5,16,,
,,,,,,"This course develops a broad understanding of the theoretical concepts of organic chemistry. Molecular orbital theory and valence bond resonance theory are invoked to describe and explain the ramification of covalent bonding in organic molecules, as well as to rationalize fundamental noncovalent associations. Thermodynamic considerations of 3-dimensional molecular shape are discussed. Contemporary instrumental techniques for the assignment of molecular structure are a key focus. Modern mechanistic theory of organic chemical reactions is developed in the context of acid-base, nucleophilic substitution, elimination, and electrophilic addition reactions. Three lectures, four hours laboratory per week. Prerequisite(s): CHEM 112 with a grade of C- or better or CHEM 115 with a grade of C- or better.
Natural science and mathematicshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27CHEM%27%20num=%27211%27%20sect=%27L1%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","This course develops a broad understanding of the theoretical concepts of organic chemistry. Molecular orbital theory and valence bond resonance theory are invoked to describe and explain the ramification of covalent bonding in organic molecules, as well as to rationalize fundamental noncovalent associations. Thermodynamic considerations of 3-dimensional molecular shape are discussed. Contemporary instrumental techniques for the assignment of molecular structure are a key focus. Modern mechanistic theory of organic chemical reactions is developed in the context of acid-base, nucleophilic substitution, elimination, and electrophilic addition reactions. Three lectures, four hours laboratory per week. Prerequisite(s): CHEM 112 with a grade of C- or better or CHEM 115 with a grade of C- or better.
Natural science and mathematics"
CHEM 211-L2 (10192),Organic Chemistry I Lab,Meeting:  T     1:20 - 4:30 pmOLRI 383,Instructor: Ronald Brisbois,1,16,,
,,,,,,"This course develops a broad understanding of the theoretical concepts of organic chemistry. Molecular orbital theory and valence bond resonance theory are invoked to describe and explain the ramification of covalent bonding in organic molecules, as well as to rationalize fundamental noncovalent associations. Thermodynamic considerations of 3-dimensional molecular shape are discussed. Contemporary instrumental techniques for the assignment of molecular structure are a key focus. Modern mechanistic theory of organic chemical reactions is developed in the context of acid-base, nucleophilic substitution, elimination, and electrophilic addition reactions. Three lectures, four hours laboratory per week. Prerequisite(s): CHEM 112 with a grade of C- or better or CHEM 115 with a grade of C- or better.
Natural science and mathematicshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27CHEM%27%20num=%27211%27%20sect=%27L2%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","This course develops a broad understanding of the theoretical concepts of organic chemistry. Molecular orbital theory and valence bond resonance theory are invoked to describe and explain the ramification of covalent bonding in organic molecules, as well as to rationalize fundamental noncovalent associations. Thermodynamic considerations of 3-dimensional molecular shape are discussed. Contemporary instrumental techniques for the assignment of molecular structure are a key focus. Modern mechanistic theory of organic chemical reactions is developed in the context of acid-base, nucleophilic substitution, elimination, and electrophilic addition reactions. Three lectures, four hours laboratory per week. Prerequisite(s): CHEM 112 with a grade of C- or better or CHEM 115 with a grade of C- or better.
Natural science and mathematics"
CHEM 211-L3 (10193),Organic Chemistry I Lab,Meeting:   W    1:10 - 4:20 pmOLRI 383,Instructor: Malia Borg,10,16,,
,,,,,,"This course develops a broad understanding of the theoretical concepts of organic chemistry. Molecular orbital theory and valence bond resonance theory are invoked to describe and explain the ramification of covalent bonding in organic molecules, as well as to rationalize fundamental noncovalent associations. Thermodynamic considerations of 3-dimensional molecular shape are discussed. Contemporary instrumental techniques for the assignment of molecular structure are a key focus. Modern mechanistic theory of organic chemical reactions is developed in the context of acid-base, nucleophilic substitution, elimination, and electrophilic addition reactions. Three lectures, four hours laboratory per week. Prerequisite(s): CHEM 112 with a grade of C- or better or CHEM 115 with a grade of C- or better.
Natural science and mathematicshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27CHEM%27%20num=%27211%27%20sect=%27L3%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","This course develops a broad understanding of the theoretical concepts of organic chemistry. Molecular orbital theory and valence bond resonance theory are invoked to describe and explain the ramification of covalent bonding in organic molecules, as well as to rationalize fundamental noncovalent associations. Thermodynamic considerations of 3-dimensional molecular shape are discussed. Contemporary instrumental techniques for the assignment of molecular structure are a key focus. Modern mechanistic theory of organic chemical reactions is developed in the context of acid-base, nucleophilic substitution, elimination, and electrophilic addition reactions. Three lectures, four hours laboratory per week. Prerequisite(s): CHEM 112 with a grade of C- or better or CHEM 115 with a grade of C- or better.
Natural science and mathematics"
CHEM 211-L4 (10194),Organic Chemistry I Lab,Meeting:    R   8:00 - 11:10 amOLRI 383,Instructor: Malia Borg,-2,16,,
,,,,,,"This course develops a broad understanding of the theoretical concepts of organic chemistry. Molecular orbital theory and valence bond resonance theory are invoked to describe and explain the ramification of covalent bonding in organic molecules, as well as to rationalize fundamental noncovalent associations. Thermodynamic considerations of 3-dimensional molecular shape are discussed. Contemporary instrumental techniques for the assignment of molecular structure are a key focus. Modern mechanistic theory of organic chemical reactions is developed in the context of acid-base, nucleophilic substitution, elimination, and electrophilic addition reactions. Three lectures, four hours laboratory per week. Prerequisite(s): CHEM 112 with a grade of C- or better or CHEM 115 with a grade of C- or better.
Natural science and mathematicshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27CHEM%27%20num=%27211%27%20sect=%27L4%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","This course develops a broad understanding of the theoretical concepts of organic chemistry. Molecular orbital theory and valence bond resonance theory are invoked to describe and explain the ramification of covalent bonding in organic molecules, as well as to rationalize fundamental noncovalent associations. Thermodynamic considerations of 3-dimensional molecular shape are discussed. Contemporary instrumental techniques for the assignment of molecular structure are a key focus. Modern mechanistic theory of organic chemical reactions is developed in the context of acid-base, nucleophilic substitution, elimination, and electrophilic addition reactions. Three lectures, four hours laboratory per week. Prerequisite(s): CHEM 112 with a grade of C- or better or CHEM 115 with a grade of C- or better.
Natural science and mathematics"
CHEM 211-L5 (10195),Organic Chemistry I Lab,Meeting:    R   1:20 - 4:30 pmOLRI 383,Instructor: Malia Borg,-1,16,,
,,,,,,"This course develops a broad understanding of the theoretical concepts of organic chemistry. Molecular orbital theory and valence bond resonance theory are invoked to describe and explain the ramification of covalent bonding in organic molecules, as well as to rationalize fundamental noncovalent associations. Thermodynamic considerations of 3-dimensional molecular shape are discussed. Contemporary instrumental techniques for the assignment of molecular structure are a key focus. Modern mechanistic theory of organic chemical reactions is developed in the context of acid-base, nucleophilic substitution, elimination, and electrophilic addition reactions. Three lectures, four hours laboratory per week. Prerequisite(s): CHEM 112 with a grade of C- or better or CHEM 115 with a grade of C- or better.
Natural science and mathematicshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27CHEM%27%20num=%27211%27%20sect=%27L5%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","This course develops a broad understanding of the theoretical concepts of organic chemistry. Molecular orbital theory and valence bond resonance theory are invoked to describe and explain the ramification of covalent bonding in organic molecules, as well as to rationalize fundamental noncovalent associations. Thermodynamic considerations of 3-dimensional molecular shape are discussed. Contemporary instrumental techniques for the assignment of molecular structure are a key focus. Modern mechanistic theory of organic chemical reactions is developed in the context of acid-base, nucleophilic substitution, elimination, and electrophilic addition reactions. Three lectures, four hours laboratory per week. Prerequisite(s): CHEM 112 with a grade of C- or better or CHEM 115 with a grade of C- or better.
Natural science and mathematics"
CHEM 300-01 (10197),Chemistry Seminar,Meeting:   W    3:30 - 4:30 pmOLRI 350,Instructor: Thomas Varberg,28,70,1 credit,1 credit
,,,,,,Presentations on current topics in the molecular sciences by campus visitors as well as by Macalester students and faculty. Chemistry majors will make an oral presentation during their senior year. One hour per week. Prerequisite(s): CHEM 212.https://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27CHEM%27%20num=%27300%27%20sect=%2701%27%20/%3E%3C/courses%3E%3C/textbookorder%3E,Presentations on current topics in the molecular sciences by campus visitors as well as by Macalester students and faculty. Chemistry majors will make an oral presentation during their senior year. One hour per week. Prerequisite(s): CHEM 212.
CHEM 311-01 (10198),Thermodynamics and Kinetics,Meeting: M W    8:00 - 9:30 amOLRI 301,Instructor: Thomas Varberg,4,24,,
,,,,,,"This course covers topics in macroscopic physical chemistry dealing with the bulk properties of matter and energy. These topics include the properties of gases, the First and Second Laws of thermodynamics and their application to physical and chemical systems, phase and chemical equilibria, rates of reactions and chemical kinetics, and x-ray diffractometry. Three lectures and three hours of laboratory per week. Prerequisite(s): CHEM 112 or CHEM 115, PHYS 227, and MATH 137. Student must earn a grade of C- or higher in prerequisite courses.
Natural science and mathematics
Quantitative Thinking Q1https://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27CHEM%27%20num=%27311%27%20sect=%2701%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","This course covers topics in macroscopic physical chemistry dealing with the bulk properties of matter and energy. These topics include the properties of gases, the First and Second Laws of thermodynamics and their application to physical and chemical systems, phase and chemical equilibria, rates of reactions and chemical kinetics, and x-ray diffractometry. Three lectures and three hours of laboratory per week. Prerequisite(s): CHEM 112 or CHEM 115, PHYS 227, and MATH 137. Student must earn a grade of C- or higher in prerequisite courses.
Natural science and mathematics
Quantitative Thinking Q1"
CHEM 311-L1 (10199),Thermodynamics/Kinetics Lab,Meeting:  T     8:00 - 11:10 amOLRI 378,Instructor: Thomas Varberg,2,8,,
,,,,,,"This course covers topics in macroscopic physical chemistry dealing with the bulk properties of matter and energy. These topics include the properties of gases, the First and Second Laws of thermodynamics and their application to physical and chemical systems, phase and chemical equilibria, rates of reactions and chemical kinetics, and x-ray diffractometry. Three lectures and three hours of laboratory per week. Prerequisite(s): CHEM 112 or CHEM 115, PHYS 227, and MATH 137. Student must earn a grade of C- or higher in prerequisite courses.
Natural science and mathematicshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27CHEM%27%20num=%27311%27%20sect=%27L1%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","This course covers topics in macroscopic physical chemistry dealing with the bulk properties of matter and energy. These topics include the properties of gases, the First and Second Laws of thermodynamics and their application to physical and chemical systems, phase and chemical equilibria, rates of reactions and chemical kinetics, and x-ray diffractometry. Three lectures and three hours of laboratory per week. Prerequisite(s): CHEM 112 or CHEM 115, PHYS 227, and MATH 137. Student must earn a grade of C- or higher in prerequisite courses.
Natural science and mathematics"
CHEM 311-L2 (10200),Thermodynamics/Kinetics Lab,Meeting:  T     1:20 - 4:30 pmOLRI 378,Instructor: Thomas Varberg,3,8,,
,,,,,,"This course covers topics in macroscopic physical chemistry dealing with the bulk properties of matter and energy. These topics include the properties of gases, the First and Second Laws of thermodynamics and their application to physical and chemical systems, phase and chemical equilibria, rates of reactions and chemical kinetics, and x-ray diffractometry. Three lectures and three hours of laboratory per week. Prerequisite(s): CHEM 112 or CHEM 115, PHYS 227, and MATH 137. Student must earn a grade of C- or higher in prerequisite courses.
Natural science and mathematicshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27CHEM%27%20num=%27311%27%20sect=%27L2%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","This course covers topics in macroscopic physical chemistry dealing with the bulk properties of matter and energy. These topics include the properties of gases, the First and Second Laws of thermodynamics and their application to physical and chemical systems, phase and chemical equilibria, rates of reactions and chemical kinetics, and x-ray diffractometry. Three lectures and three hours of laboratory per week. Prerequisite(s): CHEM 112 or CHEM 115, PHYS 227, and MATH 137. Student must earn a grade of C- or higher in prerequisite courses.
Natural science and mathematics"
CHEM 311-L3 (10201),Thermodynamics/Kinetics Lab,Meeting:    R   8:00 - 11:10 amOLRI 378,Instructor: Keith Kuwata,-1,8,,
,,,,,,"This course covers topics in macroscopic physical chemistry dealing with the bulk properties of matter and energy. These topics include the properties of gases, the First and Second Laws of thermodynamics and their application to physical and chemical systems, phase and chemical equilibria, rates of reactions and chemical kinetics, and x-ray diffractometry. Three lectures and three hours of laboratory per week. Prerequisite(s): CHEM 112 or CHEM 115, PHYS 227, and MATH 137. Student must earn a grade of C- or higher in prerequisite courses.
Natural science and mathematicshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27CHEM%27%20num=%27311%27%20sect=%27L3%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","This course covers topics in macroscopic physical chemistry dealing with the bulk properties of matter and energy. These topics include the properties of gases, the First and Second Laws of thermodynamics and their application to physical and chemical systems, phase and chemical equilibria, rates of reactions and chemical kinetics, and x-ray diffractometry. Three lectures and three hours of laboratory per week. Prerequisite(s): CHEM 112 or CHEM 115, PHYS 227, and MATH 137. Student must earn a grade of C- or higher in prerequisite courses.
Natural science and mathematics"
CHEM 351-01 (10202),Biochemistry I,Meeting: M W F  1:10 - 2:10 pmOLRI 350,Instructor: Kathryn Splan,0,32,First day attendance required; cross-listed with BIOL 351-01,First day attendance required; cross-listed with BIOL 351-01
,,,,,,"A study of biological processes at the molecular level with an emphasis on the chemistry of biological molecules, elements of physical biochemistry, the structure of proteins, the mechanisms and kinetics of enzyme catalyzed reactions, and selected topics in intermediary metabolism, including the metabolism of carbohydrates and lipids. Three lecture hours and one three-hour laboratory per week. Prerequisite(s): BIOL 200 and CHEM 212, or permission of instructor. Students must earn a C- or higher in prerequisite courses.
Natural science and mathematicshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27CHEM%27%20num=%27351%27%20sect=%2701%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","A study of biological processes at the molecular level with an emphasis on the chemistry of biological molecules, elements of physical biochemistry, the structure of proteins, the mechanisms and kinetics of enzyme catalyzed reactions, and selected topics in intermediary metabolism, including the metabolism of carbohydrates and lipids. Three lecture hours and one three-hour laboratory per week. Prerequisite(s): BIOL 200 and CHEM 212, or permission of instructor. Students must earn a C- or higher in prerequisite courses.
Natural science and mathematics"
CHEM 351-L1 (10204),Biochemistry I Lab,Meeting:  T     8:00 - 11:10 amOLRI 289,Instructor: Kathryn Splan,0,16,First day attendance required; cross-listed with BIOL 351-L1,First day attendance required; cross-listed with BIOL 351-L1
,,,,,,"A study of biological processes at the molecular level with an emphasis on the chemistry of biological molecules, elements of physical biochemistry, the structure of proteins, the mechanisms and kinetics of enzyme catalyzed reactions, and selected topics in intermediary metabolism, including the metabolism of carbohydrates and lipids. Three lecture hours and one three-hour laboratory per week. Prerequisite(s): BIOL 200 and CHEM 212, or permission of instructor. Students must earn a C- or higher in prerequisite courses.
Natural science and mathematicshttps://macalester.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-8345-_-1-_-A&catalogId=10001&storeId=89536&termMapping=Y&courseXml=%3C?xml%20version=%271.0%27%20encoding=%27UTF-8%27?%3E%3Ctextbookorder%3E%3Ccourses%3E%3Ccourse%20term=%27202410%27%20dept=%20%27CHEM%27%20num=%27351%27%20sect=%27L1%27%20/%3E%3C/courses%3E%3C/textbookorder%3E","A study of biological processes at the molecular level with an emphasis on the chemistry of biological molecules, elements of physical biochemistry, the structure of proteins, the mechanisms and kinetics of enzyme catalyzed reactions, and selected topics in intermediary metabolism, including the metabolism of carbohydrates and lipids. Three lecture hours and one three-hour laboratory per week. Prerequisite(s): BIOL 200 and CHEM 212, or permission of instructor. Students must earn a C- or higher in prerequisite courses.
Natural science and mathematics"
CHEM 351-L2 (10206),Biochemistry I Lab,Meeting:  T     1:20 - 4:30 pmOLRI 289,Instructor: Kathryn Splan,0,16,First day attendance required; cross-listed with BIOL 351-L2,First day attendance required; cross-listed with BIOL 351-L2
