Course Code,Course Title,Meeting Info,Instructor,Seats Available,Max Enrollment,Additional Details
CHEM 222-01 (30127),Analytical Chemistry,Meeting: M W F  9:40 - 10:40 amOLRI 370,Instructor: Keith Kuwata,24,24,
CHEM 222-L1 (30128),Analytical Chemistry Lab,Meeting:    R   8:00 - 11:10 amOLRI 100,Instructor: Keith Kuwata,12,12,
CHEM 222-L2 (30129),Analytical Chemistry Lab,Meeting:    R   1:20 - 4:30 pmOLRI 100,Instructor: Keith Kuwata,12,12,
CHEM 300-01 (30130),Chemistry Seminar,Meeting:   W    3:30 - 4:30 pmOLRI 350,Instructor: Thomas Varberg,70,70,1 credit
CHEM 312-01 (30131),Quantum Chemistry and Spectroscopy,Meeting: M W    8:00 - 9:30 amOLRI 301,Instructor: Thomas VarbergAbigail Verdin,24,24,
CHEM 312-L1 (30132),Quantum Chem/Spectroscopy Lab,Meeting:  T     8:00 - 11:10 amOLRI 301,Instructor: Thomas Varberg,12,12,
CHEM 312-L2 (30133),Quantum Chem/Spectroscopy Lab,Meeting:  T     1:20 - 4:30 pmOLRI 301,Instructor: Thomas Varberg,12,12,
CHEM 314-01 (30146),Polymers and Macromolecules,Meeting: M      7:00 - 10:00 pmOLRI 270,Instructor: Ronald Brisbois,12,12,First day attendance required
CHEM 351-01 (30134),Biochemistry I,Meeting: M W F  10:50 - 11:50 amOLRI 250,Instructor: Kathryn Splan,32,32,First day attendance required; cross-listed with BIOL 351-01
CHEM 351-L1 (30136),Biochemistry I Lab,Meeting:  T     8:00 - 11:10 amOLRI 289,Instructor: Kathryn Splan,16,16,First day attendance required; cross-listed with BIOL 351-L1
CHEM 351-L2 (30138),Biochemistry I Lab,Meeting:  T     1:20 - 4:30 pmOLRI 289,Instructor: Kathryn Splan,16,16,First day attendance required; cross-listed with BIOL 351-L2
CHEM 352-01 (30140),Biochemistry II,Meeting: M W F  2:20 - 3:20 pmTHEATR 002,Instructor: Kelsey Boyle,24,24,First day attendance required; cross-listed with BIOL 352-01
CHEM 352-L1 (30142),Biochemistry II Lab,Meeting:    R   8:00 - 11:10 amOLRI 289,Instructor: Kelsey Boyle,12,12,First day attendance required; cross-listed with BIOL 352-L1
CHEM 352-L2 (30144),Biochemistry II Lab,Meeting:    R   1:20 - 4:30 pmOLRI 289,Instructor: Kelsey Boyle,12,12,First day attendance required; cross-listed with BIOL 352-L2
CHIN 102-01 (30147),First Year Chinese II,Meeting: M W F  9:40 - 10:40 amHUM 112,Instructor: Jin Stone,20,20,
CHIN 102-02 (30148),First Year Chinese II,Meeting: M W F  10:50 - 11:50 amHUM 112,Instructor: Jin Stone,20,20,
CHIN 102-L1 (30149),First Year Chinese II Lab,Meeting:  T     8:30 - 9:30 amHUM 214,Instructor: Lulu Qiu,12,12,
CHIN 102-L2 (30150),First Year Chinese II Lab,Meeting:  T     9:40 - 10:40 amHUM 214,Instructor: Lulu Qiu,12,12,
CHIN 102-L3 (30151),First Year Chinese II Lab,Meeting:  T     1:20 - 2:20 pmTHEATR 205,Instructor: Lulu Qiu,12,12,
CHIN 204-01 (30152),Second Year Chinese II,Meeting: M W F  1:10 - 2:10 pmTHEATR 204,Instructor: Patricia Anderson,20,20,
CHIN 204-02 (30153),Second Year Chinese II,Meeting: M W F  10:50 - 11:50 amHUM 228,Instructor: Patricia Anderson,20,20,
CHIN 204-L1 (30154),Second Year Chinese II Lab,Meeting:    R   8:30 - 9:30 amHUM 214,Instructor: Lulu Qiu,12,12,
CHIN 204-L2 (30155),Second Year Chinese II Lab,Meeting:    R   9:40 - 10:40 amHUM 214,Instructor: Lulu Qiu,12,12,
CHIN 204-L3 (30156),Second Year Chinese II Lab,Meeting:    R   1:20 - 2:20 pmTHEATR 205,Instructor: Lulu Qiu,12,12,
CHIN 294-01 (30157),Literature and the Arts of Empire: Early Modern China and England,Meeting:  T R   1:20 - 2:50 pmHUM 112,Instructor: Penelope GengRivi Handler-Spitz,15,15,Cross-listed with ASIA 294-01 and ENGL 294-06; registration limit has been adjusted to save 5 seats for FYs
CHIN 294-02 (30158),The Art of Writing in China,Meeting:  T R   3:00 - 4:30 pmHUM 112,Instructor: Rivi Handler-Spitz,20,20,Cross-listed with ASIA 294-02
CHIN 306-01 (30159),Third Year Chinese II,Meeting: M W F  1:10 - 2:10 pmHUM 112,Instructor:,20,20,
CHIN 306-L1 (30160),Third Year Chinese II Lab,Meeting:   W    8:30 - 9:30 amHUM 113,Instructor: Lulu Qiu,12,12,
CHIN 306-L2 (30161),Third Year Chinese II Lab,Meeting:   W    10:40 - 11:40 am,Instructor: Lulu Qiu,12,12,
CHIN 394-01 (30162),Translating Chinese,Meeting:  T R   9:40 - 11:10 amHUM 112,Instructor: Xin Yang,20,20,
CHIN 409-01 (30163),A Kaleidoscope of China: Chinese in Context,Meeting: M W F  1:10 - 2:10 pmHUM 409,Instructor: Xin Yang,20,20,
CLAS 101-01 (30164),The Classical Mediterranean and Middle East,Meeting: M W F  10:50 - 11:50 amMAIN 111,Instructor: Beth Severy-Hoven,25,25,
CLAS 194-01 (30165),The Maghreb: History and Cultures of North Africa from Hannibal to 1492,Meeting:  T R   1:20 - 2:50 pmMAIN 111,Instructor: Andrew Overman,25,25,Cross-listed with HIST 294-07
CLAS 212-01 (30169),Elementary Latin II,Meeting: M W F  12:00 - 1:00 pmMAIN 111,Instructor: Nanette Goldman,20,20,
CLAS 212-L1 (30170),Elementary Latin II Lab,Meeting:  T     3:00 - 4:00 pmMAIN 011,Instructor: Nanette Goldman,10,10,
CLAS 212-L2 (30171),Elementary Latin II Lab,Meeting:  T     10:10 - 11:10 amMAIN 001,Instructor: Nanette Goldman,10,10,
CLAS 214-01 (30172),Elementary Arabic II,Meeting: M W F  2:20 - 3:20 pmHUM 213,Instructor: Kelly Tuttle,20,20,
CLAS 214-L1 (30173),Elementary Arabic II Lab,Meeting:  T     1:20 - 2:20 pmTHEATR 200,Instructor:,10,10,
CLAS 214-L2 (30174),Elementary Arabic II Lab,Meeting:  T     3:00 - 4:00 pmHUM 214,Instructor:,10,10,
CLAS 223-01 (30167),Introduction to Archaeology,Meeting:  T R   9:40 - 11:10 amTHEATR 200,Instructor: Andrew Overman,25,25,Cross-listed with ANTH 223-01
CLAS 235-01 (30175),Elementary Greek II,Meeting: M W F  2:20 - 3:20 pmMAIN 009,Instructor: Brian Lush,20,20,
CLAS 235-L1 (30176),Elementary Greek II Lab,Meeting:  T     1:50 - 2:50 pmMAIN 002,Instructor: Brian Lush,10,10,
CLAS 235-L2 (30919),Elementary Greek II Lab,Meeting:  T     3:00 - 4:00 pmHUM 213,Instructor: Brian Lush,10,10,
CLAS 294-01 (30920),Art and Architecture of Ancient Near East,Meeting: M W F  10:50 - 11:50 amARTCOM 102,Instructor: Serdar Yalcin,20,20,Cross-listed with ART 281-01
CLAS 294-02 (30921),Art and Architecture of Byzantium and Medieval Europe,Meeting: M W F  2:20 - 3:20 pmARTCOM 102,Instructor: Serdar Yalcin,20,20,Cross-listed with ART 284-01 and RELI 294-04
CLAS 332-01 (30177),Intermediate Latin II: Poetry,Meeting: M W F  3:30 - 4:30 pmHUM 216,Instructor: Nanette Goldman,20,20,
CLAS 342-01 (30178),Intermediate Arabic II,Meeting: M W F  3:30 - 4:30 pmMAIN 111,Instructor: Kelly Tuttle,20,20,
CLAS 342-L1 (30179),Intermediate Arabic II Lab,Meeting:  T     3:30 - 4:30 pmMAIN 002,Instructor:,10,10,
CLAS 394-01 (30898),"Bodies in Stone: Gender, Sexuality and Empire in Roman Sculpture",Meeting:    R   1:20 - 4:20 pmLIBR 250,Instructor: Beth Severy-Hoven,20,20,Cross-listed with WGSS 394-01
CLAS 487-01 (30181),Advanced Reading in Greek,Meeting: M W    8:00 - 9:30 amMAIN 002,Instructor: Brian Lush,15,15,
COMP 112-01 (30183),Introduction to Data Science,Meeting:  T R   1:20 - 2:50 pmTHEATR 213,Instructor: Alicia Johnson,6,6,"First day attendance required; cross-listed with STAT 112-01; ACTC students may register on November 17 with permission of instructor; registration limit has been adjusted to save 6 seats for SRs, 6 seats for JRs, 6 seats for SOs, 6 seas for FYs"
COMP 112-02 (30185),Introduction to Data Science,Meeting:  T R   9:40 - 11:10 amTHEATR 205,Instructor: Daniel O'Loughlin,6,6,"First day attendance required; cross-listed with STAT 112-02; ACTC students may register on November 17 with permission of instructor; registration limit has been adjusted to save 6 seats for SRs, 6 seats for JRs, 6 seats for SOs, 6 seats for FYs"
COMP 112-03 (30187),Introduction to Data Science,Meeting:  T R   3:00 - 4:30 pmTHEATR 202,Instructor: Daniel O'Loughlin,6,6,"First day attendance required; cross-listed with STAT 112-03; ACTC students may register on November 17 with permission of instructor; registration limit has been adjusted to save 6 seats for SRs, 6 seats for JRs3 6 seats for SOs, 6 seats for FYS"
COMP 123-01 (30188),Core Concepts in Computer Science,Meeting: M W F  9:40 - 10:40 amOLRI 258,Instructor: Lauren Milne,21,21,First day attendance required; ACTC students may register on November 17 with permission of instructor; registration limit has been adjusted to save 4 seats for FYs
COMP 123-02 (30189),Core Concepts in Computer Science,Meeting: M W F  10:50 - 11:50 amOLRI 258,Instructor: Lauren Milne,21,21,First day attendance required; ACTC students may register on November 17 with permission of instructor; registration limit has been adjusted to save 4 seats for FYs
COMP 123-03 (30190),Core Concepts in Computer Science,Meeting: M W F  1:10 - 2:10 pmOLRI 258,Instructor: Amin Alhashim,21,21,First day attendance required; ACTC students may register on November 17 with permission of instructor; registration limit has been adjusted to save 4 seats fir FYs
COMP 123-04 (30191),Core Concepts in Computer Science,Meeting:  T R   9:40 - 11:10 amOLRI 258,Instructor: Lian Duan,21,21,First day attendance required; ACTC students may register on November 17 with permission of instructor; registration limit has been adjusted to reflect 4 seats for FYs
COMP 123-05 (30192),Core Concepts in Computer Science,Meeting:  T R   1:20 - 2:50 pmOLRI 258,Instructor: Lian Duan,21,21,First day attendance required; ACTC students may register on November 17 with permission of instructor; registration limit has been adjusted to save 4 seats for FYs
COMP 127-01 (30193),Object-Oriented Programming and Abstraction,Meeting: M W F  9:40 - 10:40 amOLRI 256,Instructor: Amin Alhashim,12,12,First day attendance required; requires registration in COMP 127-L1 only; ACTC students may register on November 17 with permission of instructor; registration limit has been adjusted to save 4 seats for FYs
COMP 127-02 (30194),Object-Oriented Programming and Abstraction,Meeting: M W F  10:50 - 11:50 amOLRI 256,Instructor: Amin Alhashim,12,12,First day attendance required; requires registration in COMP 127-L2 only; ACTC students may register on November 17 with permission of instructor; registration limit has been adjusted to save 4 seats for FYs
COMP 127-03 (30195),Object-Oriented Programming and Abstraction,Meeting: M W F  1:10 - 2:10 pmOLRI 256,Instructor: Abby Marsh,12,12,First day attendance required; requires registration in COMP 127-L3 only; ACTC students may register on November 17 with permission of instructor; registration limit has been adjusted to save 4 seats for FYs
COMP 127-04 (30196),Object-Oriented Programming and Abstraction,Meeting: M W F  2:20 - 3:20 pmOLRI 256,Instructor: Abby Marsh,12,12,First day attendance required; requires registration in COMP 127-L4 only; ACTC students may register on November 17 with permission of instructor; registration limit has been adjusted to save 4 seats for FYs
COMP 127-L1 (30197),Object-Oriented Prog/Abstr Lab,Meeting:    R   8:00 - 9:30 amOLRI 256,Instructor: Amin Alhashim,12,12,Requires registration in COMP 127-01 only; ACTC students may register on November 17 with permission of instructor; registration limit has been adjusted to save 4 seats for FYs
COMP 127-L2 (30198),Object-Oriented Prog/Abstr Lab,Meeting:    R   9:40 - 11:10 amOLRI 256,Instructor: Amin Alhashim,12,12,Requires registration in COMP 127-02 only; ACTC students may register on November 17 with permission of instructor; registration limit has been adjusted to save 4 seats for FYs
COMP 127-L3 (30199),Object-Oriented Prog/Abstr Lab,Meeting:    R   1:20 - 2:50 pmOLRI 256,Instructor: Abby Marsh,12,12,Requires registration in COMP 127-03 only; ACTC students may register on November 17 with permission of instructor; registration limit has been adjusted to save 4 seats for FYs
COMP 127-L4 (30200),Object-Oriented Prog/Abstr Lab,Meeting:    R   3:00 - 4:30 pmOLRI 256,Instructor: Abby Marsh,12,12,Requires registration in COMP 127-04 only; ACTC students may register on November 17 with permission of instructor; registration limit has been adjusted to save 4 seats for FYs
COMP 128-01 (30201),Data Structures,Meeting: M W F  9:40 - 10:40 amOLRI 270,Instructor: Bret Jackson,20,20,First day attendance required; ACTC students may register on November 17 with permission of instructor
COMP 128-02 (30202),Data Structures,Meeting: M W F  10:50 - 11:50 amOLRI 270,Instructor: Bret Jackson,20,20,First day attendance required; ACTC students may register on November 17 with permission of instructor
COMP 212-01 (30203),Intermediate Data Science,Meeting:  T R   9:40 - 11:10 amOLRI 300,Instructor: Leslie Myint,20,20,First day attendance required; cross-listed with STAT 212-01; ACTC students may register on November 17 with permission of instructor
COMP 221-01 (30207),Algorithm Design and Analysis,Meeting: M W F  1:10 - 2:10 pmOLRI 301,Instructor: Suhas Arehalli,25,25,First day attendance required; ACTC students may register on November 17 with permission of instructor
COMP 221-02 (30208),Algorithm Design and Analysis,Meeting: M W F  2:20 - 3:20 pmOLRI 301,Instructor: Suhas Arehalli,25,25,First day attendance required; ACTC students may register on November 17 with permission of instructor
COMP 225-01 (30209),Software Design and Development,Meeting: M W F  2:20 - 3:20 pmOLRI 245,Instructor: Paul Cantrell,16,16,First day attendance required; ACTC students may register on November 17 with permission of instructor
COMP 225-02 (30210),Software Design and Development,Meeting: M W F  1:10 - 2:10 pmOLRI 245,Instructor: Paul Cantrell,16,16,First day attendance required; ACTC students may register on November 17 with permission of instructor
COMP 225-03 (30211),Software Design and Development,Meeting: M W F  3:30 - 4:30 pmOLRI 245,Instructor: Aaron Laursen,16,16,First day attendance required; ACTC students may register on November 17 with permission of instructor
COMP 240-01 (30212),Computer Systems,Meeting: M W F  10:50 - 11:50 amOLRI 245,Instructor: Abby Marsh,20,20,First day attendance required; ACTC students may register on November 17 with permission of instructor
COMP 302-01 (30213),Introduction to Database Management Systems,Meeting:  T R   1:20 - 2:50 pmOLRI 270,Instructor: Joslenne Peña,20,20,Permission of instructor required; first day attendance required
COMP 302-02 (30214),Introduction to Database Management Systems,Meeting:  T R   3:00 - 4:30 pmOLRI 270,Instructor: Joslenne Peña,20,20,Permission of instructor required; first day attendance required
COMP 325-01 (30215),Video Games: Coding and Narrative,Meeting:  T R   9:40 - 11:10 amTHEATR 213,Instructor: James DawesBret Jackson,24,24,"To request permission to register, complete the COMP 325 / ENGL 224 signature request form: https://forms.gle/QM3A6m5iNMc8L7677. Permissions will start being given out prior to the start of registration. Complete the form as soon as possible for full consideration; first day attendance required; cross-listed with ENGL 224-01"
COMP 365-01 (30501),Computational Linear Algebra,Meeting:  T R   1:20 - 2:50 pmOLRI 350,Instructor: Lori Ziegelmeier,20,20,Cross-listed with MATH 365-01
COMP 365-02 (30503),Computational Linear Algebra,Meeting:  T R   3:00 - 4:30 pmTHEATR 213,Instructor: Lori Ziegelmeier,20,20,Cross-listed with MATH 365-02
COMP 394-01 (30217),Computer Science and Social Justice,Meeting: M W F  10:50 - 11:50 amOLRI 254,Instructor: Joslenne Peña,20,20,Permission of instructor required; first day attendance required
COMP 440-01 (30827),Collective Intelligence,Meeting:  T R   1:20 - 2:50 pmTHEATR 001,Instructor: Shilad Sen,20,20,
COMP 479-01 (30508),Network Science,Meeting: M W F  9:40 - 10:40 amOLRI 254,Instructor: Andrew Beveridge,16,16,Permission of instructor required; cross-listed with MATH 479-01
COMP 480-01 (30219),Bodies and Minds: AI Robotics,Meeting:  T R   3:00 - 4:30 pmOLRI 258,Instructor: Susan Fox,25,25,Permission of instructor required; first day attendance required
ECON 113-01 (30220),Financial Accounting,Meeting:  T R   8:00 - 9:30 amCARN 305,Instructor: Bridgit Jordan,25,25,
ECON 119-01 (30221),Principles of Economics,Meeting:  T R   9:40 - 11:10 amTHEATR 206,Instructor: Elizabeth Engle,25,25,
ECON 119-02 (30222),Principles of Economics,Meeting:  T R   1:20 - 2:50 pmCARN 305,Instructor: Elizabeth Engle,25,25,
ECON 119-03 (30223),Principles of Economics,Meeting: M W F  9:40 - 10:40 amCARN 404,Instructor: Amy Damon,25,25,
ECON 119-04 (30224),Principles of Economics,Meeting: M W F  10:50 - 11:50 amCARN 404,Instructor: Amy Damon,25,25,
ECON 194-01 (30225),Nonprofit Management,Meeting:  T R   9:40 - 11:10 amCARN 305,Instructor: Bridgit Jordan,25,25,
ECON 221-01 (30226),Introduction to International Economics,Meeting: M W F  8:30 - 9:30 amCARN 206,Instructor: Felix Friedt,25,25,
ECON 221-02 (30227),Introduction to International Economics,Meeting: M W F  9:40 - 10:40 amCARN 206,Instructor: Felix Friedt,25,25,
ECON 225-01 (30228),Comparative Economic Systems,Meeting:  T R   1:20 - 2:50 pmCARN 05,Instructor: Gary Krueger,25,25,Cross-listed with INTL 225-01
ECON 231-01 (30230),Environmental Economics and Policy,Meeting: M W F  1:10 - 2:10 pmCARN 05,Instructor: Sarah West,25,25,Cross-listed with ENVI 231-01
ECON 256-01 (30232),Intro to Investment Banking,Meeting:  T R   1:20 - 2:50 pmCARN 206,Instructor: Joyce Minor,25,25,First day attendance required
ECON 356-01 (30233),Capital Markets,Meeting:  T R   1:20 - 2:50 pmCARN 107,Instructor: Liang Ding,25,25,
ECON 361-01 (30234),Intermediate Microeconomic Analysis,Meeting: M W F  9:40 - 10:40 amCARN 305,Instructor: Sarah West,25,25,
ECON 361-02 (30235),Intermediate Microeconomic Analysis,Meeting: M W F  10:50 - 11:50 amCARN 305,Instructor: Sarah West,25,25,
ECON 371-01 (30236),Intermediate Macroeconomic Analysis,Meeting: M W F  9:40 - 10:40 amCARN 05,Instructor: Mario Solis-Garcia,25,25,
ECON 371-02 (30237),Intermediate Macroeconomic Analysis,Meeting: M W F  1:10 - 2:10 pmCARN 305,Instructor: Pete Ferderer,25,25,
ECON 381-01 (30238),Introduction to Econometrics,Meeting:  T R   9:40 - 11:10 amCARN 309,Instructor: Gary Krueger,22,22,
ECON 381-02 (30240),Introduction to Econometrics,Meeting: M W F  1:10 - 2:10 pmCARN 404,Instructor: Amy Damon,22,22,
ECON 381-L1 (30239),Intro to Econometrics Lab,Meeting:   W    12:00 - 1:00 pmCARN 309,Instructor: Gary Krueger,22,22,
ECON 381-L2 (30241),Intro to Econometrics Lab,Meeting: M W F  12:00 - 1:00 pmCARN 404,Instructor: Amy Damon,22,22,
ECON 421-01 (30242),International Trade and Multinational Corporations,Meeting: M W F  10:50 - 11:50 amCARN 206,Instructor: Felix Friedt,20,20,
ECON 422-01 (30243),International Trade and Multinational Corporations Capstone,Meeting: M W F  10:50 - 11:50 amCARN 206,Instructor: Felix Friedt,20,20,
ECON 471-01 (30792),Macroeconomic Modeling,Meeting: M W F  8:30 - 9:30 amTHEATR 204,Instructor: Mario Solis-Garcia,20,20,
ECON 471-L1 (30793),Macroeconomic Modeling Lab,Meeting:     F  12:00 - 1:00 pmTHEATR 204,Instructor: Mario Solis-Garcia,20,20,
ECON 472-01 (30246),Macroeconomic Modeling Capstone,Meeting: M W F  8:30 - 9:30 amTHEATR 204,Instructor: Mario Solis-Garcia,20,20,
ECON 472-L1 (30247),Macroeconomics Modeling Capstone Lab,Meeting:     F  12:00 - 1:00 pmTHEATR 204,Instructor: Mario Solis-Garcia,20,20,
ECON 485-01 (30248),Empirical Finance,Meeting:  T R   9:40 - 11:10 amCARN 304,Instructor: Liang Ding,20,20,
ECON 486-01 (30249),Empirical Finance Capstone,Meeting:  T R   9:40 - 11:10 amCARN 304,Instructor: Liang Ding,20,20,
ECON 489-01 (30250),Behavioral and Experimental Economics,Meeting:  T R   1:20 - 2:50 pmCARN 304,Instructor: Pete Ferderer,20,20,
ECON 490-01 (30900),Behavioral and Experimental Economics Capstone,Meeting:  T R   1:20 - 2:50 pmCARN 304,Instructor: Pete Ferderer,20,20,
EDUC 230-01 (30256),Community Youth Development in Multicultural America,Meeting:  T R   9:40 - 11:10 amHUM 111,Instructor: Tina Kruse,16,16,First day attendance required; registration limit has been adjusted to save 2 seats for FYs
EDUC 260-01 (30257),Critical Issues in Urban Education,Meeting: M      7:00 - 10:00 pmHUM 402,Instructor: Brian Lozenski,22,22,First day attendance required; registration limit has been adjusted to save 2 seats for FYs
EDUC 294-01 (30258),Black and Latinx Voices in Educational History,Meeting:  T R   1:20 - 2:50 pmHUM 110,Instructor: Gonzalo Guzmán,24,24,First day attendance required
EDUC 294-02 (30823),Mental Health and Well-Being in US Schools,Meeting:  T R   1:20 - 2:50 pmTHEATR 202,Instructor: Tina Kruse,20,20,Cross-listed with PSYC 294-02
EDUC 330-01 (30259),Philosophy of Education,Meeting:  T R   9:40 - 11:10 amHUM 212,Instructor: Gonzalo Guzmán,18,18,First day attendance required
EDUC 460-01 (30260),Education and Social Change,Meeting: M W F  2:20 - 3:20 pmHUM 113,Instructor: Brian Lozenski,12,12,Permission of instructor required; first day attendance required
ENGL 125-01 (30261),Studies in Literature: Texts and Textiles - Fashioning the Self,Meeting: M W F  10:50 - 11:50 amMAIN 002,Instructor: Coral Lumbley,16,16,
ENGL 150-01 (30262),Introduction to Creative Writing,Meeting: M W F  10:50 - 11:50 amMAIN 001,Instructor: Peter Bognanni,16,16,
ENGL 150-02 (30263),Introduction to Creative Writing,Meeting: M W F  1:10 - 2:10 pmMAIN 002,Instructor: Cody Klippenstein,16,16,
ENGL 150-03 (30264),Introduction to Creative Writing,Meeting: M W F  10:50 - 11:50 amHUM 404,Instructor: Cody Klippenstein,16,16,
ENGL 150-04 (30265),Introduction to Creative Writing,Meeting: M W F  12:00 - 1:00 pmMAIN 009,Instructor: Aurora Masum-Javed,16,16,
ENGL 194-01 (30266),Welsh Literature and Language,Meeting: M W F  1:10 - 2:10 pmMAIN 111,Instructor: Coral Lumbley,20,20,
ENGL 194-03 (30947),Reading Plays:  Black Playwrights,Meeting: M W F  2:20 - 3:20 pmTHEATR 001,Instructor:,14,14,Cross-listed with AMST 102-01 and THDA 112
ENGL 224-01 (30216),Video Games: Coding and Narrative,Meeting:  T R   9:40 - 11:10 amTHEATR 213,Instructor: Bret JacksonJames Dawes,24,24,"To request permission to register, complete the COMP 325 / ENGL 224 signature request form: https://forms.gle/QM3A6m5iNMc8L7677. Permissions will start being given out prior to the start of registration. Complete the form as soon as possible for full consideration; first day attendance required; cross-listed with COMP 325-01"
ENGL 235-01 (30409),A Kafkaesque Century,Meeting:  T R   1:20 - 2:50 pmHUM 111,Instructor: Kiarina Kordela,15,15,Cross-listed with GERM 365-01
ENGL 263-01 (30448),Muslim Women Writers,Meeting:  T R   1:20 - 2:50 pmCARN 404,Instructor: Jenna Rice Rahaim,20,20,Cross-listed with INTL 263-01 and WGSS 263-01
ENGL 265-01 (30271),Literature and Human Rights,Meeting:  T R   1:20 - 2:50 pmHUM 216,Instructor: James Dawes,20,20,
ENGL 276-01 (30272),African American Literature 1900 to Present,Meeting:  T R   9:40 - 11:10 amMAIN 010,Instructor: Daylanne English,20,20,
ENGL 280-01 (30273),Crafts of Writing:  Poetry and Play,Meeting:  T R   1:20 - 2:50 pmMAIN 011,Instructor: Aurora Masum-Javed,16,16,
ENGL 281-01 (30274),Crafts of Writing: Fiction,Meeting: M W F  1:10 - 2:10 pmMAIN 011,Instructor: Peter Bognanni,16,16,
ENGL 285-01 (30759),Playwriting,Meeting:  T R   3:00 - 4:30 pmTHEATR 002,Instructor: Cristina Luzárraga,12,12,Cross-listed with THDA 242-01
ENGL 294-01 (30275),Dickinson,Meeting: M W F  12:00 - 1:00 pmMAIN 010,Instructor: James Dawes,20,20,Cross-listed with WGSS 294-01
ENGL 294-03 (30278),Reading Along the Silk Road,Meeting: M W F  2:20 - 3:20 pmMAIN 111,Instructor: Coral Lumbley,20,20,
ENGL 294-04 (30279),Parties,Meeting:   W    7:00 - 10:00 pmMAIN 011,Instructor: Emma Torzs,16,16,
ENGL 294-05 (30280),Crafts of Writing: Fantasy Fiction,Meeting:  T R   3:00 - 4:30 pmMAIN 001,Instructor: Emma Torzs,16,16,
ENGL 294-06 (30281),Literature and the Arts of Empire: Early Modern China and England,Meeting:  T R   1:20 - 2:50 pmHUM 112,Instructor: Rivi Handler-SpitzPenelope Geng,15,15,Cross-listed with ASIA 294-01 and CHIN 294-01; registration limit has been adjusted to save 5 seats for FYs
ENGL 294-07 (30801),Shakespeare’s History Plays,Meeting:  T R   3:00 - 4:30 pmMAIN 010,Instructor: Penelope Geng,20,20,
ENGL 294-08 (30817),Three Chords and the Truth: Introduction to Songwriting,Meeting:  T R   9:40 - 11:10 amMAIN 011,Instructor:,16,16,
ENGL 294-09 (30959),Literary City,Meeting:  T R   3:00 - 4:30 pmHUM 216,Instructor: Benjamin Voigt,16,16,
ENGL 331-01 (30283),19th Century British Novel: Ladies and Monsters,Meeting:  T R   9:40 - 11:10 amMAIN 009,Instructor: Andrea Kaston Tange,20,20,First day attendance required
ENGL 385-01 (30766),Intermediate Playwriting,Meeting:  T R   1:20 - 2:50 pmTHEATR 204,Instructor:,12,12,Cross-listed with THDA 385-01
ENGL 394-01 (30284),Asian American Poetry,Meeting: M W F  3:30 - 4:30 pmMAIN 011,Instructor: Michael Prior,16,16,Permission of instructor required
ENGL 401-01 (30286),Projects in Literary Research,Meeting:  T R   1:20 - 2:50 pmHUM 401,Instructor: Daylanne English,12,12,
ENGL 494-01 (30795),Capstone: Poetry Chapbooks,Meeting: M W F  2:20 - 3:20 pmMAIN 011,Instructor: Michael Prior,16,16,Permission of instructor required
ENVI 106-01 (30287),"Lakes, Streams and Rivers",Meeting:  T R   1:20 - 2:50 pmOLRI 243,Instructor: Anika Bratt,12,12,First day attendance required; cross-listed with BIOL106-01; registration limit has been adjusted to save 4 seats for FYs
ENVI 170-01 (30055),Ecology and the Environment,Meeting: M W F  9:40 - 10:40 amTHEATR 205,Instructor: Jerald Dosch,24,24,Permission of instructor required; first day attendance required; cross-listed with BIOL 170-01
ENVI 170-02 (30057),Ecology and the Environment,Meeting: M W F  10:50 - 11:50 amTHEATR 205,Instructor: Jerald Dosch,24,24,Permission of instructor required; first day attendance required; cross-listed with BIOL 170-02
ENVI 170-L1 (30293),Ecology/Environment Lab,Meeting:    R   8:00 - 11:10 amOLRI 284,Instructor: Michael Anderson,22,22,Permission of instructor required; first day attendance required; cross-listed with BIOL 170-L1
ENVI 170-L2 (30295),Ecology/Environment Lab,Meeting:    R   1:20 - 4:30 pmOLRI 284,Instructor: Michael Anderson,22,22,Permission of instructor required; first day attendance required; cross-listed with BIOL 170-L2
ENVI 170-L3 (30063),Ecology/Environment Lab,Meeting:  T     8:00 - 11:10 amOLRI 284,Instructor: Jerald Dosch,22,22,Permission of instructor required; first day attendance required; cross-listed with BIOL 170-L3
ENVI 180-01 (30299),Oceanography,Meeting: M W F  10:50 - 11:50 amTHEATR 213,Instructor: Louisa Bradtmiller,20,20,First day attendance required; registration limit has been adjusted to save 4 seats for FYs
ENVI 204-01 (30360),Earth and Environment: Elements of Physical Geography,Meeting: M W F  8:30 - 9:30 amCARN 105,Instructor: Xavier Haro-Carrión,15,15,Cross-listed with GEOG 204-01; registration limit has been adjusted to save 5 seats for FYs
ENVI 215-01 (30300),Environmental Politics/Policy,Meeting:  T R   3:00 - 4:30 pmOLRI 243,Instructor: Roopali Phadke,25,25,Permission of instructor required; first day attendance required; cross-listed with POLI 215-01
ENVI 221-01 (30557),Environmental Ethics,Meeting:  T R   1:20 - 2:50 pmHUM 214,Instructor: Max Dresow,20,20,Cross-listed with PHIL 221-01
ENVI 225-01 (30902),100 Words for Snow: Language and Nature,Meeting: M W F  10:50 - 11:50 amTHEATR 001,Instructor: Marianne Milligan,20,20,Cross-listed with LING 225-01
ENVI 231-01 (30231),Environmental Economics and Policy,Meeting: M W F  1:10 - 2:10 pmCARN 05,Instructor: Sarah West,25,25,Cross-listed with ECON 231-01
